region,config,seed,eval_source,eval_label,lead_hours,present,target,model,train_loss,head,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,t2m_snap_bilinear_baseline_wd_crps,456,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,crps,gaussian,t2m,8,0.8292650604084747,2.0664610862731934,0.940382719039917,1.280329704284668,1.814422607421875,0.08712056279182434,0.980641107511851,1.1493033170700073,55.51325135057337,85.20025973852097,141262.11107503632,0.0,0.9044256210327148,2.85435152053833,3.758294105529785,6.013768196105957,1195048,898,1.3066584165091728,1.2593534319794608,1.337232090351657,1.2154420379432564
europe,t2m_snap_bilinear_baseline_wd_crps,456,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,crps,gaussian,t2m,8,0.8292650604084747,2.6430697441101074,1.1454002857208252,1.52629554271698,2.0815141201019287,-0.06486204266548157,0.97457221116623,1.1469498872756958,46.34131850770848,76.73767078811898,419159.54438315454,0.0,1.1423463821411133,3.319823980331421,4.255655288696289,6.549797534942627,1195048,898,1.5743661750163915,1.4825225093166172,1.6041622031525962,1.439277669374337
europe,t2m_snap_bilinear_baseline_wd,123,eval_era5,ERA5,0,True,t2m,baseline,nll,gaussian,t2m,8,1.801298309025699,1.7734442949295044,0.8467029929161072,1.1731899976730347,1.682476282119751,0.19769765436649323,0.9835444003139188,1.4321422576904297,69.57369076388564,93.83581245272157,23442.977801728463,0.0,0.8147659301757812,2.6383934020996094,3.496338367462158,5.638266563415527,1195048,898,1.1918141790645689,1.1751833247283097,1.214553749949067,1.1088687498030554
europe,t2m_snap_bilinear_baseline_wd,123,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,nll,gaussian,t2m,8,1.801298309025699,1.82132887840271,0.875970184803009,1.2152506113052368,1.7243279218673706,0.1694333404302597,0.982628168786066,1.4292094707489014,67.41461430837926,92.9833780735167,17730.396717119314,0.0,0.8578557968139648,2.715045690536499,3.5711045265197754,5.690122604370117,1195048,898,1.2331901844027113,1.218090049868307,1.2559215070858933,1.1515262807849473
europe,t2m_snap_bilinear_baseline_wd,123,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,nll,gaussian,t2m,8,1.801298309025699,1.913897156715393,0.9244632720947266,1.279261589050293,1.796005368232727,0.299473375082016,0.9815179643201652,1.4142426252365112,64.00052550190452,91.06052643910537,66628.63156626344,0.0,0.9169197082519531,2.84138560295105,3.715144634246826,5.8317670822143555,1195048,898,1.313928957442373,1.2889796066838684,1.3055586158839108,1.2036518523155817
europe,t2m_snap_bilinear_baseline_wd,123,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,nll,gaussian,t2m,8,1.801298309025699,2.2888259887695312,1.098591923713684,1.501772165298462,2.0447845458984375,0.1447744071483612,0.9755630853245276,1.4084960222244263,55.303720017940705,84.88738527657466,149038.1277706,0.0,1.1252176761627197,3.273808479309082,4.189620018005371,6.361467361450195,1195048,898,1.5635195418123196,1.4979885634710668,1.526973469383765,1.410270604071572
europe,t2m_snap_bilinear_baseline_wd,42,eval_era5,ERA5,0,True,t2m,baseline,nll,gaussian,t2m,7,1.8045233394185158,1.7858517169952393,0.8532490134239197,1.1846898794174194,1.6885359287261963,0.08705723285675049,0.9832473777618637,1.448044776916504,68.86384479953944,93.72460353056948,12224.57788808483,0.0,0.8330717086791992,2.6421914100646973,3.48494815826416,5.632063388824463,1195048,898,1.2091975665086927,1.172965433865271,1.2317724879142877,1.1221012336782765
europe,t2m_snap_bilinear_baseline_wd,42,eval_aurora_lead6h,Aurora +6h,6,True,t2m,baseline,nll,gaussian,t2m,7,1.8045233394185158,1.836125373840332,0.884299635887146,1.2292815446853638,1.733743667602539,0.057330045849084854,0.9823501561432011,1.4460281133651733,66.68133832281214,92.82832154022265,10791.397563947223,0.0,0.8773172497749329,2.727146625518799,3.5719425678253174,5.690435409545898,1195048,898,1.246977428043951,1.2163639585026667,1.2864731621686252,1.16565676587293
europe,t2m_snap_bilinear_baseline_wd,42,eval_aurora_lead24h,Aurora +24h,24,True,t2m,baseline,nll,gaussian,t2m,7,1.8045233394185158,1.9307845830917358,0.9284489154815674,1.286385416984558,1.79665207862854,0.19313490390777588,0.9813246787559026,1.42893385887146,63.50305594419638,90.8585261847223,53937.882341127704,0.0,0.9313919544219971,2.837442398071289,3.6919455528259277,5.816685199737549,1195048,898,1.3215321781969203,1.2715144773508082,1.3325920154477389,1.2157753704717853
europe,t2m_snap_bilinear_baseline_wd,42,eval_aurora_lead72h,Aurora +72h,72,True,t2m,baseline,nll,gaussian,t2m,7,1.8045233394185158,2.336261034011841,1.1087768077850342,1.515546441078186,2.058504581451416,0.03740323707461357,0.9753888226203387,1.4246383905410767,55.022476084642626,84.59835922908536,150901.4245586788,0.0,1.1385397911071777,3.298231840133667,4.208587646484375,6.372859477996826,1195048,898,1.5645772061227232,1.4809805900368347,1.5896546403997696,1.4216897732072047
