target,region,variant,eval_label,cov68,cov68_std,cov95,ssr,ssr_std,ce_tv,ce_rmsce,crps
wind,east_asia,baseline,Lead +6h,71.43951692840189,0.10930585397942615,93.60771328607633,0.9192121521648678,0.00882311511578723,0.07227214033508539,0.025688489616844376,0.8946800827980042
wind,east_asia,baseline,Lead +24h,71.11723701905818,0.08119396202577212,93.48689180717857,0.9146944344092418,0.008303264368828831,0.07188476149143534,0.024656275914538773,0.8995606700579325
wind,east_asia,baseline,Lead +72h,70.1174459786004,0.2287828111031227,93.04861256221905,0.8939595848470501,0.009568790979294696,0.0724168046335439,0.020500196560048103,0.9271309773127238
wind,east_asia,concat,ERA5 (lead 0),69.76757269380998,0.5866940993040013,93.12523106103225,0.8975173443644687,0.007743320974078149,0.06450848965114471,0.023646211588404863,0.8219908277193705
wind,east_asia,concat,Lead +6h,69.88357202942579,0.4895038466064503,93.07781331875975,0.895305965323893,0.008944945992193132,0.06540219353939959,0.025926039386107488,0.8209610978762308
wind,east_asia,concat,Lead +24h,69.8739277428619,0.6208853223602557,93.08611812107866,0.8984913437801346,0.009872133390656134,0.06707386987714249,0.0256541051458556,0.8279769023259481
wind,east_asia,concat,Lead +72h,69.89428790338569,0.6945720123059104,93.07754542191076,0.8990263016428015,0.010167256078305006,0.07199245602473224,0.024650403905957716,0.8659041126569113
wind,europe,baseline,ERA5 (lead 0),69.14539406050498,0.836248553887878,90.82373100577861,0.8891100071152218,0.018212976100602532,0.06430740741279793,0.03832779564564937,0.9283638199170431
wind,europe,baseline,Lead +6h,69.2740557893169,0.8751206760271513,90.84793998114708,0.8890308731929233,0.019088691987978496,0.07008927726748103,0.04432083686837144,0.9253211418787638
wind,europe,baseline,Lead +24h,69.63461912586678,0.8784557183129594,91.03205433289719,0.9015908029488747,0.01992366865455191,0.06772174620940326,0.04175386292230406,0.9363577167193095
wind,europe,baseline,Lead +72h,69.47641177380957,0.8742431129208329,90.81184483550753,0.9049277200410216,0.018847058031906064,0.06349900228942192,0.036816727818548084,0.9826222856839498
wind,europe,concat,ERA5 (lead 0),69.86608409877844,1.034898393064785,91.59681722320626,0.9748622350167944,0.017471224093442504,0.055394016841490396,0.01658563944266884,0.859980583190918
wind,europe,concat,Lead +6h,70.12457191593906,1.0473004149054497,91.61044993278249,0.9746092859015324,0.016762864916968698,0.055900852844845694,0.01742820997457108,0.8469455242156982
wind,europe,concat,Lead +24h,70.43424303773641,0.9300300427436927,91.7082561338703,0.9818441995121273,0.013964693497258788,0.056771041796141015,0.01779938162698687,0.8619105815887451
wind,europe,concat,Lead +72h,70.29296741394292,0.8679965152314089,91.51778631964872,0.9700338653005329,0.01164575216107307,0.058292447333349824,0.016721550371726058,0.9228789806365967
