region,config,seed,eval_source,eval_label,lead_hours,present,target,variant,head,is_tessera,variable,checkpoint_epoch,best_val_loss,nll,crps,mae,rmse,bias,correlation,mean_pred_std,within_1sigma,within_2sigma,pit_chi2_stat,pit_chi2_pvalue,p50,p90,p95,p99,n_predictions,n_test_stations,seasonal_mae_DJF,seasonal_mae_MAM,seasonal_mae_JJA,seasonal_mae_SON
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead6h,Lead +6h,6,True,wind,baseline,truncated_normal,False,wind,2,1.7987820373006063,1.7601959705352783,0.9269758462905884,1.280657410621643,1.8894522190093994,-0.2136794924736023,0.7349265259296727,2.0428168773651123,77.93000161554886,96.04219638961217,14078.821262078409,0.0,0.8775808811187744,2.7771384716033936,3.800995111465454,7.16264009475708,687073,550,1.430440881335755,1.2638984019180266,1.1495834516382042,1.2396728882425394
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead24h,Lead +24h,24,True,wind,baseline,truncated_normal,False,wind,2,1.7987820373006063,1.7669010162353516,0.9255227446556091,1.2915366888046265,1.898879885673523,-0.19754524528980255,0.7308359314867364,2.0802457332611084,78.36881961596511,96.22441865711504,12772.837414656085,0.0,0.8882761001586914,2.8025059700012207,3.8290789127349854,7.151174068450928,687073,550,1.443752521107159,1.2751214811034925,1.1609146218706452,1.2505630786743072
europe,wind_truncnormal_xlead_snap_bilinear_baseline_wd,456,eval_lead72h,Lead +72h,72,True,wind,baseline,truncated_normal,False,wind,2,1.7987820373006063,1.8269108533859253,0.9791985154151917,1.3656628131866455,1.995222806930542,-0.17053553462028503,0.6945905079793773,2.2170321941375732,78.59237664702296,96.1187530291541,11631.701814799882,0.0,0.939429521560669,2.9818918704986572,4.05856990814209,7.425375938415527,687073,550,1.5432682828746929,1.348133570756211,1.2102321053090104,1.3307848494228607
east_asia,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,2,2.0247932435715037,2.020794153213501,0.9441999793052673,1.2939269542694092,1.8125898838043213,-0.05730189010500908,0.984855348075925,1.6670897006988525,70.8189167275442,94.44154551365932,1824.241420279849,0.0,0.9830358028411865,2.69577693939209,3.431781768798828,5.9956231117248535,124567,88,1.3306523689638767,1.3225349582226145,1.229600966352782,1.2877231544603782
east_asia,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,2,2.0247932435715037,2.040700912475586,0.9705038666725159,1.335059404373169,1.849279522895813,-0.13465707004070282,0.9843032998275373,1.6870436668395996,69.49994781924586,94.22720303130042,2669.072555331669,0.0,1.0257911682128906,2.784156084060669,3.5135645866394043,5.998784065246582,124567,88,1.3625178890680822,1.3623502214929986,1.2786034027751227,1.332820451242884
east_asia,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,2,2.0247932435715037,2.082444429397583,1.0182608366012573,1.4027619361877441,1.9243730306625366,-0.18116284906864166,0.9830535155601757,1.7523112297058105,68.75416442557018,93.90368235568008,3339.554785777935,0.0,1.0831265449523926,2.927873134613037,3.706387996673584,6.103761196136475,124567,88,1.4255756097363599,1.4198112353848755,1.352543832882551,1.4099727781852156
east_asia,t2m_xlead_snap_bilinear_baseline_wd,123,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,2,2.0247932435715037,2.1830036640167236,1.1426693201065063,1.577121615409851,2.1305835247039795,-0.3197394609451294,0.9794723570510397,1.9566515684127808,67.73623832957364,93.4934613501168,5487.53137668885,0.0,1.2274665832519531,3.305325984954834,4.173924922943115,6.5761494636535645,124567,88,1.5983262035837646,1.6048865106806143,1.5291239138720576,1.5729997105627214
east_asia,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,3,2.0320404407912736,2.0321171283721924,0.966240644454956,1.3444409370422363,1.8326363563537598,-0.19491267204284668,0.9847072072462892,1.466899037361145,62.83526134530012,91.83331058787641,6110.476137339744,0.0,1.0473518371582031,2.7929184436798096,3.513333320617676,5.692689895629883,124567,88,1.3909015747202886,1.3643514924499953,1.2556674564518904,1.3606423200475508
east_asia,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,3,2.0320404407912736,2.0610053539276123,0.9951807856559753,1.3857421875,1.8718650341033936,-0.26053985953330994,0.9841517677787716,1.4857070446014404,61.54920645114677,91.28822240240191,9408.622355840631,0.0,1.0913200378417969,2.8792226314544678,3.597792625427246,5.712392807006836,124567,88,1.4238254298627961,1.4061560407742537,1.3007077028482663,1.4071986165518395
east_asia,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,3,2.0320404407912736,2.1024978160858154,1.0414878129959106,1.4523836374282837,1.9443700313568115,-0.2885309159755707,0.9829298598337189,1.5467497110366821,60.960768100700825,91.10679393418802,10622.076962598441,0.0,1.1554698944091797,3.008805751800537,3.7588491439819336,5.830300807952881,124567,88,1.4795182201913277,1.463239249260997,1.3732799288047977,1.4900754414375261
east_asia,t2m_xlead_snap_bilinear_baseline_wd,42,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,3,2.0320404407912736,2.2002511024475098,1.1614283323287964,1.6212999820709229,2.1442923545837402,-0.41764336824417114,0.9795515360937367,1.7404764890670776,60.891728949079614,90.86274856101537,13514.58701742837,0.0,1.3000545501708984,3.3655078411102295,4.199242115020752,6.305845737457275,124567,88,1.645295789291937,1.6376270125374757,1.5441798259357362,1.6549856665599758
east_asia,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead0h,ERA5 (lead 0),0,True,t2m,baseline,gaussian,False,t2m,4,2.0601805880461654,2.066511631011963,0.988895833492279,1.3720391988754272,1.8782232999801636,-0.17725902795791626,0.9838786822288842,1.4363813400268555,61.26983872133069,90.4228246646383,5688.411385037771,0.0,1.0467102527618408,2.9455153942108154,3.7810850143432617,5.702356815338135,124567,88,1.3584229282300164,1.392157071935087,1.3208647938991374,1.4185365996799026
east_asia,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead6h,Lead +6h,6,True,t2m,baseline,gaussian,False,t2m,4,2.0601805880461654,2.0869905948638916,1.0146151781082153,1.4094822406768799,1.9163343906402588,-0.2372119426727295,0.9833058971273343,1.4587085247039795,60.480705162683535,90.11375404400845,7892.774338307898,0.0,1.0809450149536133,3.0226831436157227,3.867185115814209,5.7291436195373535,124567,88,1.3860640861085243,1.4243056834034695,1.363771472618844,1.4670315878660056
east_asia,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead24h,Lead +24h,24,True,t2m,baseline,gaussian,False,t2m,4,2.0601805880461654,2.1245439052581787,1.0599278211593628,1.473865270614624,1.9928877353668213,-0.26630228757858276,0.9819765945244442,1.5289393663406372,60.53529425931426,90.06558719404015,8713.09962510135,0.0,1.1331443786621094,3.1565372943878174,4.024188995361328,5.926153659820557,124567,88,1.4427541148971308,1.4772989378964543,1.4336972640568877,1.5462031342952498
east_asia,t2m_xlead_snap_bilinear_baseline_wd,456,eval_lead72h,Lead +72h,72,True,t2m,baseline,gaussian,False,t2m,4,2.0601805880461654,2.213648557662964,1.1770808696746826,1.6405891180038452,2.19290828704834,-0.39314937591552734,0.9784608783208207,1.7457644939422607,61.05148233480777,90.56170574871354,10319.279592508448,0.0,1.280599594116211,3.5106327533721924,4.422317028045654,6.461276054382324,124567,88,1.5793641808967371,1.655821354109339,1.6075322454555374,1.7280010985844205
east_asia,wind_truncnormal_xlead_snap_bilinear_baseline_wd,123,eval_lead0h,ERA5 (lead 0),0,True,wind,baseline,truncated_normal,False,wind,1,1.7998230952922611,1.800236463546753,0.8963481783866882,1.2444403171539307,1.719025731086731,-0.11795157194137573,0.6581172946305579,1.8006484508514404,78.68291193158986,96.51841255043159,3462.864385257101,0.0,0.9163057208061218,2.71419358253479,3.5099551677703857,5.648349285125732,124426,88,1.3777247911805952,1.2458336139062056,1.1419175431949637,1.2142656883142648
