var,region,method,rmse_mean,rmse_std,ssr_mean,ssr_std,cov68_mean,cov68_std,ce_tv_mean,ce_tv_std,cv_sigma_mean,cv_sigma_std,spearman_sig_err_mean,spearman_sig_err_std,resolution_gap_mean,resolution_gap_std,calib_gap_mean,calib_gap_std,nll_model_mean,nll_model_std
t2m,S. Africa,ConvCNP (no TESSERA),2.7492564249872484,0.03886445114192601,0.9102911517269362,0.02648105493266932,67.22553603095277,1.358058951299244,0.07061099467999354,0.05803022716405455,0.31940225194368255,0.015940315948169994,0.2239550906443001,0.03390237944307405,0.04484558516678586,0.011176446224165802,0.022705684488356564,0.007584762648605417,2.408062583481872,0.017450941220520898
t2m,S. Africa,ConvCNP + TESSERA,2.594255547961701,0.07446027192014505,1.005646251521216,0.053664990579416524,73.93465527432963,2.1876286303310173,0.07726010711662816,0.022858778622848377,0.3002873065356649,0.03242973702629328,0.23712725131507292,0.030938833026282055,0.05687752528306792,0.004099599027028998,0.0029725330301325257,0.0027958566498063795,2.3180558113494594,0.030240264407764936
t2m,US,ERA5 interp (const σ),2.234421648516328,0.0,0.9870804867775921,0.0,78.0351740757832,0.0,0.1467517817771625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017057160652589332,0.0,2.223091529151156,0.0
t2m,US,ConvCNP (no TESSERA),2.0704655699396857,0.01727887293082805,0.8721625690709973,0.03126636930187259,69.16747850758003,1.2268013281850303,0.041546599668427074,0.007490800882698206,0.37034906459497274,0.0142135092542857,0.30513591388860223,0.007795754424247725,0.07456328741126317,0.00996751945376905,0.0386697100726523,0.00835717651566139,2.11079516261532,0.009828375088081669
t2m,US,ConvCNP + TESSERA,1.9311128386567562,0.0054941979528166625,0.8293728272822678,0.02831720902523829,68.74754311302534,0.9398869223660479,0.03462544223965544,0.0018259164265130683,0.3751519503044372,0.010074472615670045,0.31570593374567,0.00468397148414803,0.07428659535713573,0.010932670311353027,0.06893321171084803,0.013644130045034012,2.0716788900725067,0.005383883910481514
wind,Australia,ERA5 interp (const σ),1.879592713551905,0.0,0.9712248567679146,0.0,69.04685494223364,0.0,0.10593709884467263,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0008693187843924477,0.0,2.0508629636330045,0.0
wind,Australia,ConvCNP (no TESSERA),1.8122678084644577,0.06561651253189844,0.9531937569622185,0.013843341756680703,65.70389388104407,0.7679304741514744,0.12079589216944801,0.0161181634645244,0.09340476383496764,0.01872748199876689,0.009912394418729925,0.06578013465049441,-0.001725443438807132,0.007221105573891125,0.0018822391131683898,0.0019444945999946232,1.9500652224733053,0.04675417246275766
wind,Australia,ConvCNP + TESSERA,1.5905096954005133,0.05536228608380864,0.9052894560749071,0.043570015412936175,63.78369704749679,2.9255639479387514,0.13152545999144202,0.043200391187962435,0.29297961866259875,0.08210448215102807,0.1541161690167292,0.021993120694739077,0.00687253154915024,0.009282964074665303,0.026736478301639204,0.022964604482323833,1.838681313347238,0.005227899894569637
wind,East Asia,ERA5 interp (const σ),1.9860183851941995,0.0,0.9839597333979399,0.0,74.75929468117596,0.0,0.12146175236686867,0.0,0.0,0.0,0.0,0.0,-4.440892098500626e-16,0.0,0.0002643204673953292,0.0,2.1053346766510916,0.0
wind,East Asia,ConvCNP (no TESSERA),1.7051796953782894,0.014797201220259824,0.862063824962445,0.013145354612581263,66.82392211702806,1.043874398467849,0.06711914444462304,0.00805103103137963,0.3292081758907179,0.008686951823563294,0.3524529241539853,0.01651947206464902,0.039908275063940714,0.0020574287256030182,0.03801232717019495,0.0075727532065443925,1.8092183476887858,0.015052806790405082
wind,East Asia,ConvCNP + TESSERA,1.6029636458607186,0.014174808656089659,0.9296899415439265,0.07078920932046456,70.98677125359652,2.2244947901146817,0.06836272161766833,0.004741350023130343,0.3519840626877857,0.01900132026921641,0.3611400548405846,0.010626270724912082,0.0947208862715377,0.0033095403447401194,0.01003772790722183,0.013408388877797259,1.690037364192845,0.016234975472284797
wind,Europe,ERA5 interp (const σ),2.148891517117696,0.0,0.9978883761677118,0.0,80.49916093340882,0.0,0.16348459334015453,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,4.474692789635526e-06,0.0,2.1838951436497203,0.0
wind,Europe,ConvCNP (no TESSERA),1.8742104772072732,0.03286524885298493,0.9511601193932927,0.03821299335423133,69.81965526225015,0.7887933921628826,0.05676876159204819,0.002081638892966677,0.5507277942806043,0.03654475143412318,0.2841643950146327,0.024250394526354184,0.17610042024595832,0.03435584534469509,0.003969730700933575,0.0007988661354253287,1.7533708145969864,0.0075990566674325076
wind,Europe,ConvCNP + TESSERA,1.756703447731512,0.016909595742367594,0.9537458904425581,0.009848634963718591,69.6511142193042,0.46531769614331775,0.05979908005893599,0.006067331797011999,0.5223607574758867,0.026600463859325532,0.2720436192805109,0.011953424570749549,0.14719933915736064,0.002546864069722089,0.0068137060841664265,0.002458243365979872,1.701549713262365,0.00832706315245809
wind,S. Africa,ERA5 interp (const σ),1.8259231474498232,0.0,0.9263841520144901,0.0,69.37593712838013,0.0,0.17289695465591234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061569159348340285,0.0,2.02718114250204,0.0
wind,S. Africa,ConvCNP (no TESSERA),1.64577721855201,0.003448994747059891,0.9517557802311748,0.01533518394482741,65.73513951364113,1.08720442192741,0.14522344587491168,0.01055024460381868,0.09842364269058301,0.06549122192262409,0.2363314952347835,0.006453859176109163,0.011373200254804372,0.004621040621655548,0.001201243012482441,0.001107293003662737,1.6827732175194139,0.005506154421972758
wind,S. Africa,ConvCNP + TESSERA,1.5940079157818425,0.013323893755772446,0.9306802361270914,0.01124012189202441,63.61701394274684,0.7012342197590946,0.14165158643986006,0.0015217925061634017,0.21199842175985295,0.00578686121498253,0.11774576897546885,0.02124699955305474,0.018574544023035305,0.003859925866774516,0.00034692202435230673,0.0006389201370605601,1.6328320424040932,0.011609220592030418
wind,US,ERA5 interp (const σ),2.1226524048427184,0.0,0.9670931321728716,0.0,70.48035870819643,0.0,0.12691036709571227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011450020442764774,0.0,2.1727499762762537,0.0
wind,US,ConvCNP (no TESSERA),1.9595769842951274,0.014596109910158039,0.8722681043552291,0.04482138119173028,55.79484850969189,1.6690189638198552,0.1765967286586071,0.011284777728334697,0.3090132836258503,0.022918045141331816,0.12124139223614148,0.01675170087580917,0.04102081618322432,0.008599739305004803,0.009591626796693342,0.007623003939633358,1.7833172434797504,0.020615738417155832
wind,US,ConvCNP + TESSERA,1.8488093227747238,0.018223377514996825,0.8675932773271545,0.027655219807503434,55.50895824530645,1.3269236668878328,0.18055220965846627,0.00880612591849628,0.32822994527355,0.014199689193931834,0.0840816394015685,0.01862193492316044,0.05768221926974267,0.0013273905525518742,0.013034213255502877,0.007158231402121303,1.7316855849504729,0.00673439792589425
